onset	duration	trial_type	value	sample
7.449	1.7	NonTarget	1	7449
10.509	1.7	NonTarget	1	10509
13.029	1.7	Target	2	13029
13.929	1.7	NonTarget	1	13929
18.069	1.7	NonTarget	1	18069
18.789	1.7	NonTarget	1	18789
20.049	1.7	Target	2	20049
21.489	1.7	NonTarget	1	21489
26.169	1.7	NonTarget	1	26169
26.349	1.7	NonTarget	1	26349
27.609	1.7	Target	2	27609
28.329	1.7	NonTarget	1	28329
28.509	1.7	NonTarget	1	28509
30.309	1.7	Target	2	30309
31.029	1.7	NonTarget	1	31029
31.749	1.7	NonTarget	1	31749
33.189	1.7	NonTarget	1	33189
33.909	1.7	NonTarget	1	33909
35.529	1.7	NonTarget	1	35529
37.689	1.7	NonTarget	1	37689
37.869	1.7	Target	2	37869
38.589	1.7	NonTarget	1	38589
39.849	1.7	NonTarget	1	39849
40.569	1.7	Target	2	40569
43.989	1.7	NonTarget	1	43989
44.169	1.7	NonTarget	1	44169
48.489	1.7	NonTarget	1	48489
48.669	1.7	Target	2	48669
50.289	1.7	Target	2	50289
51.549	1.7	NonTarget	1	51549
51.908	1.7	Target	2	51908
53.348	1.7	NonTarget	1	53348
55.868	1.7	NonTarget	1	55868
56.588	1.7	NonTarget	1	56588
58.568	1.7	NonTarget	1	58568
58.928	1.7	Target	2	58928
60.908	1.7	NonTarget	1	60908
63.608	1.7	NonTarget	1	63608
66.668	1.7	NonTarget	1	66668
67.568	1.7	Target	2	67568
69.008	1.7	NonTarget	1	69008
73.688	1.7	NonTarget	1	73688
74.588	1.7	Target	2	74588
76.568	1.7	NonTarget	1	76568
78.728	1.7	NonTarget	1	78728
79.988	1.7	Target	2	79988
80.708	1.7	NonTarget	1	80708
81.428	1.7	NonTarget	1	81428
82.688	1.7	Target	2	82688
85.208	1.7	NonTarget	1	85208
87.008	1.7	Target	2	87008
89.348	1.7	NonTarget	1	89348
90.608	1.7	NonTarget	1	90608
91.328	1.7	Target	2	91328
96.548	1.7	NonTarget	1	96548
97.988	1.7	NonTarget	1	97988
98.348	1.7	Target	2	98348
99.248	1.7	NonTarget	1	99248
103.568	1.7	NonTarget	1	103568
103.928	1.7	NonTarget	1	103928
105.548	1.7	NonTarget	1	105548
106.448	1.7	Target	2	106448
111.487	1.7	NonTarget	1	111487
111.667	1.7	NonTarget	1	111667
112.927	1.7	Target	2	112927
117.247	1.7	Target	2	117247
118.147	1.7	NonTarget	1	118147
119.587	1.7	NonTarget	1	119587
119.947	1.7	Target	2	119947
121.207	1.7	NonTarget	1	121207
126.067	1.7	NonTarget	1	126067
126.787	1.7	NonTarget	1	126787
127.687	1.7	NonTarget	1	127687
128.587	1.7	Target	2	128587
129.307	1.7	NonTarget	1	129307
130.027	1.7	NonTarget	1	130027
133.807	1.7	NonTarget	1	133807
133.987	1.7	Target	2	133987
136.327	1.7	NonTarget	1	136327
140.287	1.7	NonTarget	1	140287
142.627	1.7	Target	2	142627
144.967	1.7	NonTarget	1	144967
146.947	1.7	Target	2	146947
147.847	1.7	NonTarget	1	147847
151.267	1.7	Target	2	151267
151.447	1.7	NonTarget	1	151447
152.167	1.7	NonTarget	1	152167
153.967	1.7	Target	2	153967
154.147	1.7	NonTarget	1	154147
155.407	1.7	NonTarget	1	155407
157.207	1.7	Target	2	157207
162.067	1.7	Target	2	162067
162.787	1.7	NonTarget	1	162787
162.967	1.7	NonTarget	1	162967
165.667	1.7	NonTarget	1	165667
168.727	1.7	NonTarget	1	168727
169.627	1.7	Target	2	169627
171.066	1.7	NonTarget	1	171066
173.406	1.7	Target	2	173406
175.026	1.7	Target	2	175026
177.186	1.7	Target	2	177186
177.366	1.7	NonTarget	1	177366
179.166	1.7	NonTarget	1	179166
182.046	1.7	Target	2	182046
182.226	1.7	NonTarget	1	182226
183.486	1.7	NonTarget	1	183486
183.846	1.7	NonTarget	1	183846
186.006	1.7	NonTarget	1	186006
188.886	1.7	NonTarget	1	188886
189.066	1.7	Target	2	189066
192.486	1.7	NonTarget	1	192486
193.206	1.7	NonTarget	1	193206
196.446	1.7	NonTarget	1	196446
197.706	1.7	Target	2	197706
198.966	1.7	NonTarget	1	198966
200.226	1.7	NonTarget	1	200226
200.946	1.7	Target	2	200946
202.746	1.7	NonTarget	1	202746
204.186	1.7	Target	2	204186
206.166	1.7	NonTarget	1	206166
206.886	1.7	Target	2	206886
208.686	1.7	NonTarget	1	208686
210.486	1.7	NonTarget	1	210486
212.466	1.7	NonTarget	1	212466
213.186	1.7	NonTarget	1	213186
214.446	1.7	Target	2	214446
217.686	1.7	Target	2	217686
218.946	1.7	NonTarget	1	218946
220.746	1.7	NonTarget	1	220746
226.326	1.7	Target	2	226326
227.046	1.7	NonTarget	1	227046
228.305	1.7	NonTarget	1	228305
229.025	1.7	Target	2	229025
232.085	1.7	NonTarget	1	232085
233.525	1.7	NonTarget	1	233525
236.405	1.7	NonTarget	1	236405
236.585	1.7	Target	2	236585
237.305	1.7	NonTarget	1	237305
238.025	1.7	NonTarget	1	238025
240.185	1.7	NonTarget	1	240185
242.885	1.7	NonTarget	1	242885
244.145	1.7	Target	2	244145
244.325	1.7	NonTarget	1	244325
247.385	1.7	Target	2	247385
248.825	1.7	NonTarget	1	248825
252.065	1.7	NonTarget	1	252065
252.425	1.7	NonTarget	1	252425
252.785	1.7	Target	2	252785
259.625	1.7	NonTarget	1	259625
260.885	1.7	Target	2	260885
261.065	1.7	NonTarget	1	261065
261.785	1.7	NonTarget	1	261785
263.945	1.7	NonTarget	1	263945
264.305	1.7	NonTarget	1	264305
266.285	1.7	Target	2	266285
267.905	1.7	Target	2	267905
268.625	1.7	NonTarget	1	268625
269.345	1.7	NonTarget	1	269345
269.525	1.7	Target	2	269525
271.145	1.7	Target	2	271145
271.865	1.7	NonTarget	1	271865
272.045	1.7	NonTarget	1	272045
276.545	1.7	Target	2	276545
276.725	1.7	NonTarget	1	276725
276.905	1.7	NonTarget	1	276905
278.885	1.7	NonTarget	1	278885
281.225	1.7	NonTarget	1	281225
285.184	1.7	Target	2	285184
285.364	1.7	NonTarget	1	285364
286.624	1.7	NonTarget	1	286624
288.424	1.7	Target	2	288424
288.784	1.7	NonTarget	1	288784
290.224	1.7	NonTarget	1	290224
292.204	1.7	Target	2	292204
293.104	1.7	NonTarget	1	293104
295.084	1.7	NonTarget	1	295084
296.704	1.7	NonTarget	1	296704
299.044	1.7	NonTarget	1	299044
299.224	1.7	Target	2	299224
299.944	1.7	NonTarget	1	299944
306.604	1.7	NonTarget	1	306604
306.784	1.7	Target	2	306784
306.964	1.7	NonTarget	1	306964
309.124	1.7	NonTarget	1	309124
310.744	1.7	NonTarget	1	310744
311.464	1.7	NonTarget	1	311464
313.624	1.7	NonTarget	1	313624
313.804	1.7	Target	2	313804
316.144	1.7	NonTarget	1	316144
